hour,AUC,Accuracy
6,0.7040224409609056,0.5
7,0.6804470420646892,0.3972602739726027
8,0.7070644165096939,0.4810126582278481
9,0.6750157583587817,0.4367816091954023
10,0.7484234090471364,0.5858585858585859
11,0.7804242142454817,0.5925925925925926
12,0.7806927714505744,0.635593220338983
13,0.7772933226956779,0.6299212598425197
14,0.7845173750447584,0.6268656716417911
15,0.8290718815433428,0.6267605633802817
16,0.8164374539597086,0.6466666666666666
17,0.8284803460438855,0.6604938271604939
18,0.8193639857678225,0.6726190476190477
19,0.8205457877037364,0.6511627906976745
20,0.8224806002583781,0.639344262295082
21,0.8168612163520971,0.6455026455026455
22,0.8402156438814492,0.6649484536082474
23,0.8296530243428745,0.6432160804020101
24,0.8286999856435102,0.6732673267326733
25,0.8180442783868175,0.6534653465346535
26,0.8358537700789938,0.6600985221674877
27,0.8476039121968735,0.6714975845410628
28,0.8101240703444756,0.6086956521739131
29,0.833037508625177,0.6794258373205742
30,0.8046961552637845,0.6197183098591549
31,0.8425602714515757,0.6697674418604651
32,0.8141460777547734,0.6697674418604651
33,0.8043798561429393,0.6157407407407407
34,0.8658342407637609,0.6666666666666666
35,0.8503396982976662,0.6221198156682027
36,0.8407508233076065,0.663594470046083
37,0.8610446914753057,0.6912442396313364
38,0.8259744861830253,0.6100917431192661
39,0.8090990871131819,0.6484018264840182
40,0.8106770779909747,0.6027397260273972
41,0.8351457689678051,0.6606334841628959
42,0.8703909063561759,0.672645739910314
43,0.8490868699416906,0.6444444444444445
44,0.8522075653254321,0.6872246696035242
45,0.829037559596661,0.6375545851528385
46,0.8418310666899792,0.6724890829694323
47,0.837176453409341,0.6331877729257642
48,0.8441227599888377,0.6594827586206896
49,0.860854920441645,0.6952789699570815
50,0.8568574141328268,0.6709401709401709
51,0.8640823362995088,0.7008547008547008
52,0.8370046273398876,0.6440677966101694
53,0.8493857297837923,0.679324894514768
54,0.8480447532535065,0.6582278481012658
55,0.8701833697166702,0.6751054852320675
56,0.8813168916240115,0.729957805907173
57,0.8346432777427645,0.6736401673640168
58,0.8504472851807662,0.6861924686192469
59,0.8368632254716681,0.6778242677824268
60,0.8643557455107076,0.7238493723849372
61,0.8645121964604803,0.6903765690376569
62,0.8543864580997159,0.6820083682008368
63,0.8546302588662614,0.7041666666666667
64,0.8373711613456155,0.6875
65,0.8465606028616525,0.6833333333333333
66,0.859409692933569,0.6916666666666667
67,0.8694012146258229,0.6333333333333333
68,0.8975941539908249,0.7875
69,0.8977962975352636,0.7625
70,0.8749986921471921,0.725
71,0.8673340759288362,0.6916666666666667
72,0.8702402942989759,0.7291666666666666
73,0.8778689507224047,0.7333333333333333
74,0.8669426705037462,0.7083333333333334
75,0.9013542287912748,0.7541666666666667
76,0.8954089900229679,0.775
77,0.8964814003535363,0.7583333333333333
78,0.8903417115121067,0.7583333333333333
79,0.8841355871035846,0.7666666666666667
80,0.8761877127494638,0.7333333333333333
81,0.8860276087168543,0.7375
82,0.8681048870231077,0.7125
83,0.8642544779503734,0.6666666666666666
